Entity Name,Entity ID,Fiscal Year,Actuarially Determined Contributions_Employer Contributions,Contributions in Relation to the Actuarially Determined Contributions_Employer Contributions,Contribution Deficiency (Excess)_Employer Contributions,Covered-Employee Payroll_Employer Contributions,Contributions as a Percentage of Covered-Employee Payroll_Employer Contributions
AC Transit Employees' Retirement Plan,7159,2024,69039000,69039000,0,197847000,34.9
Alameda County Employees' Retirement Association,7258,2024,288640000,288640000,0,1251821000,23.06
Antelope Valley Hospital Medical Center Retirement Plan,7148,2024,20565690,25579395,-5013705,159917337,16
California State Teachers' Retirement System,7209,2024,11399079802,12522960487,-1123880685,46651596583,26.84
City of Alameda Police and Fire Pension 1079 and 1082,7218,2024,,,,0,0
City of Albany Police and Fire Relief Pension Fund,7219,2024,1023773,500000,523773,0,0
City of Berkeley Safety Members' Pension Fund,7220,2024,0,0,0,0,0
City of Concord Retirement System,7230,2024,2210000,2372000,-162000,0,0
City of Delano Employee Pension Plan,7235,2024,2449211,2544294,-95083,10571394,24.07
City of El Cerrito Employees' Pension Trust Fund,7225,2024,0,0,0,0,0
City of Eureka Fire and Police Retirement System,7233,2024,,,,0,0
City of Fresno Employees' Retirement System,7232,2024,28621359,28621359,0,213088002,13.43
City of Fresno Fire and Police Retirement System,7231,2024,30635176,30635176,0,145668744,21.03
City of Irvine Safety Defined Benefit Pension Plan,7243,2024,531123,617591,-86468,306530,201.48
City of Los Angeles Fire and Police Pension System,7236,2024,480809810,480809810,0,1600181343,30.05
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2024,435599199,425303910,10295289,1403031222,30.31
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2024,21490,21490,0,0,0
City of Manhattan Beach Supplemental Retirement Plan,7241,2024,13898,13898,0,0,0
City of Oakland Fire and Police Retirement System,7222,2024,40763000,40763000,0,0,0
City of Pasadena Fire and Police Retirement System,7239,2024,0,0,0,0,0
City of Piedmont Police and Fire Pension Plan,7224,2024,,,,0,0
City of Richmond General Pension Plan,7227,2024,,,0,0,0
City of Richmond Police and Firemen's Pension Plan,7228,2024,,,,0,0
City of Sacramento City Employees' Retirement System,7245,2024,1399000,1399000,0,87000,1608.05
City of San Clemente Restated Employees' Retirement Plan,7244,2024,1738000,1738000,0,404023,430.17
City of San Jose Federated City Employees' Retirement System,7249,2024,218313000,218313000,0,434174000,50.28
City of San Jose Police and Fire Retirement Plan,7250,2024,202700000,202700000,0,265551000,76.33
City of Santa Barbara Police and Fire Pension Fund,7248,2024,0,0,0,0,0
Contra Costa County Employees' Retirement Association,7259,2024,372770052,372770052,0,1093972642,34.07
Contra Costa Water District Retirement Plan,7172,2024,16224093,17451573,-1227480,40147688,43.47
Desert Hospital Retirement Protection Plan,7398,2024,0,0,0,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2024,95103000,95103000,0,246231000,38.62
Fresno County Employees' Retirement Association,7260,2024,243868000,243868000,0,530592000,45.96
Golden Gate Transit District Amalgamated Retirement Plan,7144,2024,9263000,4724000,4539000,13153000,35.92
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2024,710756,1262041,-551285,3242646,38.92
Imperial County Employees' Retirement System,7261,2024,27366348,27366348,0,136508000,20.05
Judges' Retirement System I,7205,2024,315809000,212532000,103277000,16462000,1291.05
Judges' Retirement System II,7206,2024,96316000,96316000,0,399244000,24.12
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2024,4697167,0,4697167,0,0
Kern County Employees' Retirement Association,7262,2024,358108000,358108000,0,797698000,44.89
Legislators' Retirement System,7207,2024,,,,0,0
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2024,4986703,4986703,0,35879000,13.9
Long Beach Public Transportation Company Retirement Plan - Salaried Employees,7199,2024,1116086,1762514,-646428,4086524,43.13
Los Angeles City Employees' Retirement System,7237,2024,714338215,714389215,-51000,2460394012,29.04
Los Angeles County Employees' Retirement Association,7263,2024,2509071263,2509071263,0,9860646503,25.45
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2024,787503,787503,0,733472,107.37
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2024,33318906,38680319,-5361413,217061000,17.82
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2024,2128606,2128606,0,1679083,126.77
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2024,23453402,23453402,0,285415311,8.22
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2024,9009822,9009822,0,64962783,13.87
Marin County Employees' Retirement Association,7264,2024,86060064,86060064,0,322497869,26.69
Marin County Transit District Service Credit Replacement Plan,13268,2024,26011,26011,0,0,0
Mendocino County Employees' Retirement Association,7265,2024,32095794,32095794,0,87186296,36.81
Merced County Employees' Retirement Association,7266,2024,69632270,69632270,0,153177954,45.46
Modesto Irrigation District Basic Retirement Plan,7186,2024,20605914,20605914,0,51293039,40.17
Orange County Employees' Retirement System,7267,2024,736016000,749776000,-13760000,2042240000,36.71
Public Agency Retirement System Defined Benefit Plans,7215,2024,965099,965099,0,0,0
Public Employees' Retirement Fund (PERF) A,12892,2024,,,,0,0
Public Employees' Retirement Fund (PERF) B,12893,2024,5262302000,5262302000,0,18535628000,28.39
Public Employees' Retirement Fund (PERF) C,12894,2024,1509408000,1614768000,-105360000,5161783000,31.28
Sacramento County Employees' Retirement System,7268,2024,395853000,395853000,0,1330913000,29.74
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2024,11437314,11437314,0,43423598,26.34
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2024,5263040,5263040,0,16996391,30.97
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2024,12363514,12363514,0,33041904,37.42
Salinas Valley Memorial Healthcare District Employees Pension Plan,13351,2024,11269905,11269905,0,151837187,7.42
San Bernardino County Employees' Retirement Association,7269,2024,581196604,593853813,-12657209,1812216000,32.77
San Diego City Employees' Retirement System,7246,2024,424660000,475239000,-50579000,1025280000,46.35
San Diego County Employees' Retirement Association,7270,2024,833414525,864557338,-31142813,1715953607,50.38
San Diego Transit Corporation Employees' Retirement Plan,7200,2024,17213854,17213854,0,23668509,72.73
San Francisco City and County Employees' Retirement System,7247,2024,672618000,672618000,0,4319733000,15.57
San Joaquin County Employees' Retirement Association,7271,2024,268750800,292752311,-24001511,535509779,54.67
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2024,3335000,3335000,0,9581000,34.81
San Luis Obispo County Pension Trust,7272,2024,83915907,83915907,0,245307336,34.21
San Mateo County Employees' Retirement Association,7273,2024,175572103,185572103,-10000000,676865990,27.42
Santa Barbara County Employees' Retirement System,7274,2024,170153000,170153000,0,440152000,38.66
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2024,30425895,30425895,0,160018530,19.01
Self-Insured Schools of California Defined Benefit Plan,7183,2024,3078032,2999225,78807,112414042,2.67
Sonoma County Employees' Retirement Association,7275,2024,73994000,78412000,-4418000,419411000,18.7
Stanislaus County Employees' Retirement Association,7276,2024,116285000,116285000,0,357174000,32.56
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2024,376034,1060781,-684747,9378110,11.31
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2024,808014,1301114,-493100,5734757,22.69
Tulare County Employees' Retirement Association,7277,2024,50727000,50727000,0,331884000,15.28
Turlock Irrigation District Pension Plan,7187,2024,12871720,16081026,3209306,49868702,32.25
University of California Retirement Plan,7211,2024,4221586000,3001069000,1220517000,16749455000,17.92
Ventura County Employees' Retirement Association,7278,2024,158621851,158621851,0,901980000,17.59
West Contra Costa Healthcare District Successor Retirement Plan,8275,2024,432061,2000000,-1567939,0,0
AC Transit Employees' Retirement Plan,7159,2023,61716000,61716000,0,184703000,33.41
Alameda County Employees' Retirement Association,7258,2023,281647000,281647000,0,1198970000,23.49
Antelope Valley Hospital Medical Center Retirement Plan,7148,2023,21404672,23846521,-2441849,154615246,15.42
California State Teachers' Retirement System,7209,2023,10634049333,11457902558,-823853225,42552101866,26.93
City of Alameda Police and Fire Pension 1079 and 1082,7218,2023,,,,0,0
City of Albany Police and Fire Relief Pension Fund,7219,2023,1038051,500000,538051,0,0
City of Berkeley Safety Members' Pension Fund,7220,2023,0,0,0,0,0
City of Concord Retirement System,7230,2023,2670000,6606208,-3936208,0,0
City of Delano Employee Pension Plan,7235,2023,1861914,2048532,-186618,9924784,20.64
City of El Cerrito Employees' Pension Trust Fund,7225,2023,85000,85000,0,85000,100
City of Emeryville Pension Plan,7221,2023,100090,,100090,0,0
City of Eureka Fire and Police Retirement System,7233,2023,,,,0,0
City of Fresno Employees' Retirement System,7232,2023,22236117,22236117,0,186218911,11.94
City of Fresno Fire and Police Retirement System,7231,2023,27067935,27067935,0,134251602,20.16
City of Irvine Safety Defined Benefit Pension Plan,7243,2023,539700,594717,-55017,272177,218.5
City of Los Angeles Fire and Police Pension System,7236,2023,481824295,481824295,0,1608133494,29.96
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2023,372208000,361585859,10622141,1259245870,28.71
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2023,21068,21068,0,0,0
City of Manhattan Beach Supplemental Retirement Plan,7241,2023,12612,12612,0,0,0
City of Oakland Fire and Police Retirement System,7222,2023,32712000,32712000,0,0,0
City of Pasadena Fire and Police Retirement System,7239,2023,,,,0,0
City of Piedmont Police and Fire Pension Plan,7224,2023,,,,0,0
City of Richmond Garfield Pension Plan,7229,2023,12408,12408,0,0,0
City of Richmond General Pension Plan,7227,2023,152897,152897,0,0,0
City of Richmond Police and Firemen's Pension Plan,7228,2023,,,,0,0
City of Sacramento City Employees' Retirement System,7245,2023,0,0,0,103000,0
City of San Clemente Restated Employees' Retirement Plan,7244,2023,1745000,1797000,-52000,443149,405.51
City of San Jose Federated City Employees' Retirement System,7249,2023,199440000,199440000,0,386315000,51.63
City of San Jose Police and Fire Retirement Plan,7250,2023,201750000,201750000,0,254356000,79.32
City of Santa Barbara Police and Fire Pension Fund,7248,2023,0,0,0,0,0
Contra Costa County Employees' Retirement Association,7259,2023,348760348,348760348,0,1023662811,34.07
Contra Costa Water District Retirement Plan,7172,2023,12806804,14141907,-1335103,39341598,35.95
Desert Hospital Retirement Protection Plan,7398,2023,0,,0,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2023,91393000,91393000,0,233940000,39.07
Fresno County Employees' Retirement Association,7260,2023,242221000,242221000,0,470492000,51.48
Golden Gate Transit District Amalgamated Retirement Plan,7144,2023,8825000,4892000,3933000,15085000,32.43
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2023,366238,500000,-133762,2830804,17.66
Imperial County Employees' Retirement System,7261,2023,29345685,29345685,0,129235000,22.71
Judges' Retirement System I,7205,2023,313118000,208785000,104333000,20083000,1039.61
Judges' Retirement System II,7206,2023,89970000,89970000,0,378328000,23.78
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2023,4350330,0,4350330,0,0
Kern County Employees' Retirement Association,7262,2023,316838000,316838000,0,677026000,46.8
