Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
AC Transit Employees' Retirement Plan,7159,2024,-14.15,12.6,-5.07,,,,-14.15
Alameda County Employees' Retirement Association,7258,2024,,,,12.7,5.1,9.2,12.3
Antelope Valley Hospital Medical Center Retirement Plan,7148,2024,14.61,3.87,8.11,,,,14.61
California State Teachers' Retirement System,7209,2024,8.3,4.3,8.5,8.4,4.3,8.5,8.3
City of Alameda Police and Fire Pension 1079 and 1082,7218,2024,1,1,,,,,1
City of Albany Police and Fire Relief Pension Fund,7219,2024,9.48,,,,,,9.48
City of Berkeley Safety Members' Pension Fund,7220,2024,0,,,0,,,
City of Concord Retirement System,7230,2024,8.98,,,,,,8.98
City of Delano Employee Pension Plan,7235,2024,,,,12.05,1.83,6.84,12.05
City of El Cerrito Employees' Pension Trust Fund,7225,2024,1,,,,,,1
City of Eureka Fire and Police Retirement System,7233,2024,3.84,2.14,1.78,,,,3.84
City of Fresno Employees' Retirement System,7232,2024,,,,10.59,4.06,8.42,10.38
City of Fresno Fire and Police Retirement System,7231,2024,,,,10.59,4.06,8.42,10.38
City of Irvine Safety Defined Benefit Pension Plan,7243,2024,-14.4,11.6,-2.62,,,,10.44
City of Los Angeles Fire and Police Pension System,7236,2024,9.94,3.2,8.47,,,,9.94
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2024,9.78,,,9.79,3.71,7.87,9.78
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2024,3.93,3.93,3.93,3.93,3.93,3.93,3.93
City of Manhattan Beach Supplemental Retirement Plan,7241,2024,3.93,3.93,3.93,3.93,3.93,3.93,3.93
City of Oakland Fire and Police Retirement System,7222,2024,10.77,2.25,3.59,,,,10.77
City of Pasadena Fire and Police Retirement System,7239,2024,6.6,,,,,,6.6
