"Entity Name","Entity ID","Fiscal Year","Valuation Date","Name of Actuary","Actuarial Accrued Liability_Funding Position","Actuarial Value of Assets","Unfunded Actuarial Accrued Liability (UAAL)","Funded Ratio (Rounded to Nearest Tenth, Example: 99.9) (%)","Annual Covered Payroll_Funding Position","UAAL as a Percenrate of ACP (%)","Select Method Used to Determine Actuarial Accrued Liability","Please Specifiy Other Method"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20132014","NULL","dcp",,,"0","NULL","3,015,414","NULL","NULL","NULL"
"Semitropic Water Storage District 401(K) Plan","10763","20142015","NULL","NULL",,,"0","NULL","3,276,701","0","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20152016","2015-01-01T00:00:00","Cheiron","856,235,546","570,994,244","285,241,302","66.7","137,011,984","NULL","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20142015","2014-01-01T00:00:00","Cheiron","785,288,682","533,397,205","251,891,477","67.9","128,635,888","195.8","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20132014","2013-01-01T00:00:00","Cheiron","753,239,390","480,241,963","272,997,427","63.8","130,592,121","209","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20122013","2012-01-01T00:00:00","EFI Actuaries","721,194,818","453,421,574","267,773,244","62.9","126,239,193","211.6","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20112012","2011-01-01T00:00:00","EFI Actuaries","692,486,995","428,644,017","263,842,978","61.9","126,536,498","208.5","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20102011","2010-01-01T00:00:00","EFI Actuaries","625,116,235","391,062,294","234,053,941","62.6","136,127,357","171.9","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20092010","2009-01-01T00:00:00","EFI Actuaries","586,781,594","358,600,888","228,180,706","61.1","135,196,012","168.8","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20082009","2008-01-01T00:00:00","EFI Actuaries","531,756,991","420,843,790","110,913,201","79.1","129,935,113","85.4","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20072008","2007-01-01T00:00:00","EFI Actuaries","500,514,140","379,650,907","120,863,233","75.9","124,907,596","96.8","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20062007","2006-01-01T00:00:00","EFI Actuaries","449,786,331","349,765,819","100,020,512","77.8","120,487,434","83","5","NULL"
"City of East Palo Alto Retirement Plan","7256","20032004","NULL","dcp",,,"0","NULL","6,130,698","0","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20052006","2005-01-01T00:00:00","EFI Actuaries","417,662,007","322,625,824","95,036,183","77.2","117,267,338","81","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20042005","2004-01-01T00:00:00","EFI Actuaries","387,292,455","311,160,685","76,131,770","80.3","117,394,393","64.9","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20032004","2003-01-01T00:00:00","EFI Actuaries","347,614,231","296,723,729","50,890,502","85.4","123,941,457","41.1","5","NULL"
