entity_name,entity_id,fiscal_year,AAL,AVA,UAAL,funded_ratio,ACP,contributions,investment_income,other_additions,admin_expense,benefit_payments,member_refunds,other_deductions,return_1yr,return_3yr,return_5yr,adc_amount,contribution_deficiency,net_cash_flow,contribution_to_payroll,funded_ratio_prev,funded_ratio_change
Golden Gate Transit District Amalgamated Retirement Plan,7144,2003,113349000.0,111546000.0,1803000.0,98.4,23660000.0,0.0,-10816788.0,0.0,454123.0,5726931.0,0.0,0.0,,,,,,-16997842.0,0.0,,
Golden Gate Transit District Amalgamated Retirement Plan,7144,2004,118371000.0,112137000.0,6234000.0,94.7,22952000.0,2990733.0,17599136.0,0.0,382124.0,6276279.0,0.0,0.0,,,,,,13931466.0,0.13030380794701987,98.4,-3.700000000000003
Golden Gate Transit District Amalgamated Retirement Plan,7144,2005,120251000.0,115857000.0,4394000.0,96.3,20249000.0,2711704.0,11898051.0,0.0,359897.0,6771441.0,0.0,0.0,12.4,7.37,1.98,,,7478417.0,0.13391792187268506,94.7,1.5999999999999943
Golden Gate Transit District Amalgamated Retirement Plan,7144,2006,122198000.0,117796000.0,4402000.0,96.4,18175000.0,2682915.0,5266078.0,0.0,433354.0,7468637.0,0.0,0.0,4.6,12.43,3.12,,,47002.0,0.1476156808803301,96.3,0.10000000000000853
Golden Gate Transit District Amalgamated Retirement Plan,7144,2007,126318000.0,123189000.0,3129000.0,97.5,17825000.0,2713581.0,14337245.0,0.0,353766.0,7500910.0,0.0,0.0,12.9,9.0,7.9,,,9196150.0,0.15223455820476858,96.4,1.0999999999999943
Golden Gate Transit District Amalgamated Retirement Plan,7144,2008,126318000.0,123189000.0,3129000.0,97.5,18776000.0,2865664.0,7355476.0,0.0,375917.0,7931940.0,0.0,0.0,6.1,7.87,11.26,,,1913283.0,0.15262377503195568,97.5,0.0
Golden Gate Transit District Amalgamated Retirement Plan,7144,2009,136011000.0,103202000.0,32809000.0,75.9,19246653.0,2918755.0,-33863619.0,0.0,418678.0,7788615.0,0.0,0.0,-27.6,-4.6,0.4,,,-39152157.0,0.15165000376948656,97.5,-21.599999999999994
Golden Gate Transit District Amalgamated Retirement Plan,7144,2010,138936378.0,105633839.0,33302539.0,76.0,19965307.0,3718356.0,16120474.0,0.0,320767.0,8067802.0,0.0,60764.0,19.2,-2.9,1.6,,,11389497.0,0.18624086271250426,75.9,0.09999999999999432
Golden Gate Transit District Amalgamated Retirement Plan,7144,2011,138936378.0,105633839.0,33302539.0,76.0,19980652.0,3840227.0,11883122.0,0.0,415543.0,8688602.0,0.0,0.0,12.5,-1.0,3.1,,,6619204.0,0.19219728165026848,76.0,0.0
Golden Gate Transit District Amalgamated Retirement Plan,7144,2012,143140197.0,97961812.0,45178385.0,68.4,19765535.0,3801481.0,-1981695.0,0.0,382345.0,9268602.0,0.0,0.0,-2.09,9.72,0.03,,,-7831161.0,0.19232876823217787,76.0,-7.599999999999994
