Entity Name,Entity ID,Fiscal Year,Valuation Date,Name of Actuary,Actuarial Accrued Liability (AAL),Actuarial Value of Assets (AVA),Unfunded Actuarial Accrued Liability (UAAL) (AVA Basis),"Funded Ratio (AVA Basis) (rounded to nearest hundredth, EXAMPLE: 99.99)",Annual Covered Payroll (ACP),UAAL as a Percentage of ACP (AVA Basis),Method Used to Determine AAL,"Please Specifiy ""Other"" Method",Market Value of Assets (MVA),UAAL (MVA Basis),Funding Ratio (MVA Basis)
AC Transit Employees' Retirement Plan,7159,2024,01/01/2023,Cherion,1160658693,884596000,276062693,76.21,197853537,139.53,Entry Age,NULL,776480666,384178027,66.9
Alameda County Employees' Retirement Association,7258,2024,12/31/2023,Segal,11746667000,10342556000,1404111000,88.05,1319397000,106.42,Entry Age,NULL,10109342000,1637325000,86.06
Antelope Valley Hospital Medical Center Retirement Plan,7148,2024,07/01/2023,Milliman,486718452,338707247,148011205,69.59,159917337,92.55,Entry Age,NULL,332822965,153895487,68.38
California State Teachers' Retirement System,7209,2024,06/30/2023,Milliman Inc.,359741000000,273155000000,86586000000,75.93,39370000000,219.93,Entry Age,NULL,274170000000,85571000000,76.21
City of Alameda Police and Fire Pension 1079 and 1082,7218,2024,06/30/2024,Precision Actuarial Inc. & GovInvest,2509692,0,2509692,,0,,Other,Mortality - the rates incorporate Generational Mortality to capture ongoing mortality improvement using 80 percent of Scale MP 2020.,0,2509692,
City of Albany Police and Fire Relief Pension Fund,7219,2024,06/30/2022,GovInvest,9768554,2599073,7169481,26.61,0,,Entry Age,NULL,7169481,2599073,73.39
City of Berkeley Safety Members' Pension Fund,7220,2024,06/30/2024,Foster and Foster Actuaries and Consultants,146122,0,146122,,0,,Other,Average remaining lifetime of participants,0,,
City of Concord Retirement System,7230,2024,06/30/2023,Foster & Foster,53104,29171,23933,54.93,0,,Entry Age,NULL,29171,23933,54.93
City of Delano Employee Pension Plan,7235,2024,07/01/2024,Nyhart,70759779,51180266,19579513,72.33,10571394,185.21,Entry Age,NULL,49662962,21096817,70.19
City of El Cerrito Employees' Pension Trust Fund,7225,2024,09/23/2021,NULL,,,,,0,,Projected Unit Credit,NULL,,,
City of Eureka Fire and Police Retirement System,7233,2024,06/30/2024,GovInvest,1734906,,,,0,,Other,Straight Line,,,
City of Fresno Employees' Retirement System,7232,2024,06/30/2024,The Segal Company,1457747000,1600472705,-142725705,109.79,238367154,-59.88,Entry Age,NULL,1644254000,-186507000,112.79
City of Fresno Fire and Police Retirement System,7231,2024,06/30/2024,The Segal Company,1732763000,1991116988,-258353988,114.91,157870000,-163.65,Entry Age,NULL,2044347000,-311584000,117.98
City of Irvine Safety Defined Benefit Pension Plan,7243,2024,01/01/2024,USI Consulting Group,23333004,20347027,2985977,87.2,318509,937.49,Entry Age,NULL,17736936,5596068,76.02
City of Los Angeles Fire and Police Pension System,7236,2024,06/30/2024,Segal Consulting,27595631079,27527602006,68029073,99.75,1771168166,3.84,Entry Age,NULL,28148045889,-552414810,102
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2024,07/01/2024,The Segal Company,18026936825,17600753628,426183197,97.64,1403031222,30.38,Entry Age,N/A,17812697101,214239724,98.81
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2024,06/30/2024,Total Compensation Systems,97984,38956,59028,39.76,0,,Entry Age,NULL,38956,59028,39.76
City of Manhattan Beach Supplemental Retirement Plan,7241,2024,06/30/2024,Total Compensation Systems,47832,18332,29500,38.33,0,,Entry Age,NULL,,,
City of Oakland Fire and Police Retirement System,7222,2024,07/01/2023,Cheiron,522457000,425449000,97008000,81.43,0,,Entry Age,NULL,0,522457,
City of Pasadena Fire and Police Retirement System,7239,2024,06/30/2024,Foster & Foster,119513000,99755000,19758000,83.47,0,161.29,Entry Age,NULL,98630000,20883000,82.53
City of Piedmont Police and Fire Pension Plan,7224,2024,06/30/2024,Foster & Foster,788889,18585491,-17796602,2355.91,0,,Aggregate,NULL,18585491,-17796602,2355.91
City of Richmond General Pension Plan,7227,2024,06/30/2023,VIA Actuarial Solutions,358539,0,358539,,0,,Entry Age,NULL,0,,
City of Richmond Police and Firemen's Pension Plan,7228,2024,06/30/2023,VIA Actuarial Solutions,5494894,0,5494894,,0,,Entry Age,NULL,,,
City of Sacramento City Employees' Retirement System,7245,2024,06/30/2024,Foster & Foster Actuaries and Consultants,249409000,243646000,5763000,97.69,87000,6624.14,Entry Age,NULL,253497000,-4088000,101.64
City of San Clemente Restated Employees' Retirement Plan,7244,2024,06/30/2023,Foster & Foester Actuaries & Consultants,44897000,26021000,18876000,57.96,404023,4672.01,Entry Age,NULL,26021000,18876000,57.96
City of San Jose Federated City Employees' Retirement System,7249,2024,06/30/2023,Cheiron,4965668000,2889956000,2075712000,58.2,434174000,478.08,Entry Age,NULL,2907314000,2058354000,58.55
City of San Jose Police and Fire Retirement Plan,7250,2024,06/30/2023,Cheiron,5908554000,4739742000,1168812000,80.22,265551000,440.15,Entry Age,NULL,4721488000,1187066000,79.91
City of Santa Barbara Police and Fire Pension Fund,7248,2024,06/30/2023,Foster & Foster,93232,,,,0,,Other,Actuarial cost methods are only applicable when you have active employees.,,,
Contra Costa County Employees' Retirement Association,7259,2024,12/31/2022,Segal Consulting,11912228880,10861822062,1050406818,91.18,1073886785,97.81,Entry Age,NULL,10053668812,1858560068,84.4
Contra Costa Water District Retirement Plan,7172,2024,06/30/2023,VIA Actuarial,333571766,259265405,74306361,77.72,40147688,185.08,Entry Age,NULL,251238748,82333018,75.32
Desert Hospital Retirement Protection Plan,7398,2024,06/30/2024,Nyhart,2715761,4444098,-1728337,163.64,0,,Entry Age,NULL,,,
East Bay Municipal Utility District Employees' Retirement System,7168,2024,06/30/2023,Segal Consulting,2994429150,2251690803,742738347,75.2,266278000,278.93,Entry Age,NULL,2194142000,800287150,73.27
Fresno County Employees' Retirement Association,7260,2024,06/30/2022,Segal Consulting,6918859000,6134136000,784723000,88.66,491461957,159.67,Entry Age,NULL,5623399000,1295460000,81.28
Golden Gate Transit District Amalgamated Retirement Plan,7144,2024,01/01/2023,Cheiron,198631893,95384216,103247677,48.02,13153000,,Entry Age,NULL,87079579,111552314,43.84
